Category,Parameter,Value,Unit,Type,Source / Justification,Defined in
META,sheet_purpose,"Single reference sheet of ALL configuration values and data inputs of the model, with explicit sources. The executable configuration lives in model_config.py (tunable values) and lng_data.py (supply-side data); update sheet and code together when changing a value.",-,-,-,-
META,type_legend,"Data = taken from a cited source; Derived = computed from Data; Calibrated = fitted to observed 2025-26 prices in the calibration loop; Assumption = stylised modelling choice; Numerical = solver/algorithm setting with no economic content",-,-,-,-
Time horizon,T_FIRST,-5,month index,Assumption,Model start Sep 2025: six pre-closure months to establish the baseline equilibrium,model_config.py
Time horizon,T_PRE_END,0,month index,Assumption,Last pre-closure month = Feb 2026,model_config.py
Time horizon,T_CLOSURE_START,+1,month index,Data,"Closure begins March 2026 -- realized event date (TTF +55% in two trading days from 2 March 2026, Kpler / press reports)",model_config.py
Time horizon,T_CLOSURE_END,+6,month index,Assumption,"Scenario assumption: 6-month closure (Mar-Aug 2026), within the 5-9 month range of historical energy-chokepoint disruptions",model_config.py
Time horizon,T_LAST,+24,month index,Numerical,"Horizon extension so the terminal-storage equality does not contaminate reported results at t<=+12 (standard fix for terminal-condition artefacts: Conejo, Carrion & Morales 2010, ch. 3)",model_config.py
Time horizon,reporting window,t <= +12,month index,Assumption,Headline results reported through Feb 2027 only; t=+13..+24 are a dynamic-programming tail,model_config.py
Time horizon,CAL_OFFSET,2,-,Derived,Maps t=+1 to calendar March (month 3),model_config.py
Bayesian beliefs,ALPHA_C_PRIOR / BETA_C_PRIOR,2 / 40,Beta counts,Calibrated,"Prior on monthly closure-arrival rate, mean 2/42 = 4.8%/month. Fitted to the observed FLAT pre-crisis TTF (~33-38 EUR/MWh Sep 2025 - Feb 2026): the market priced essentially no imminent-closure premium and was surprised on 2 March (Kpler). Framework: Grenadier & Malenko (2010, J. Finance); Bouri et al. (2020, Energy Economics)",model_config.py
Bayesian beliefs,ALPHA_R_PRIOR / BETA_R_PRIOR,2 / 12,Beta counts,Assumption,"Prior on monthly reopening rate, mean 2/14 = 14.3%/month, i.e. expected closure duration ~7 months -- consistent with historical closure durations of major supply disruptions (~5-9 months)",model_config.py
Bayesian beliefs,updating rule,conjugate Beta-Bernoulli,-,Data,"Posterior mean used as branching probability at every tree node; one count added per monthly observation (Grenadier & Malenko 2010; Hou & Nguyen 2018, Energy Economics, for the gas-market Markov-switching precedent)",scenario_tree.py
Unit conversion,USD_TO_EUR,0.93,EUR/USD,Data,ECB reference rate (2024 average),lng_data.py
Unit conversion,MMBTU_TO_MWH,0.293,MWh/MMBtu,Data,IEA standard energy conversion,lng_data.py
Unit conversion,BCM_PER_BILLION_MMBTU,27.8,bcm per bn MMBtu,Data,IEA Natural Gas Information conversion factor,lng_data.py
Unit conversion,USD/MMBtu to EUR/MWh,3.17,multiplier,Derived,= USD_TO_EUR / MMBTU_TO_MWH,lng_data.py
Break-even price,Qatar,2.4,USD/MMBtu,Data,"Zou et al. (2022), Table 3: Qatargas II $1.96, RasGas I $2.20",lng_data.py
Break-even price,USA,5.9,USD/MMBtu,Data,"Zou et al. (2022), Table 3: Sabine Pass $5.46, Corpus Christi $5.81",lng_data.py
Break-even price,Australia,9.5,USD/MMBtu,Data,"Zou et al. (2022), Table 3: Gorgon FOB $12.32, Ichthys $13.55; average across projects ~9.5 (older NWS/Pluto cheaper)",lng_data.py
Break-even price,Russia,4.5,USD/MMBtu,Data,"Zou et al. (2022), Table 3: Yamal $4.33",lng_data.py
Break-even price,Algeria,4.9,USD/MMBtu,Data,"Zwickl-Bernhard & Neumann (2024), Energy 301:131612, Table 6 col. 2",lng_data.py
Break-even price,Indonesia,6.0,USD/MMBtu,Data,"Zwickl-Bernhard & Neumann (2024), Table 6 col. 2",lng_data.py
Break-even price,Malaysia,6.0,USD/MMBtu,Data,"Zwickl-Bernhard & Neumann (2024), Table 6 col. 2",lng_data.py
Break-even price,Nigeria,4.1,USD/MMBtu,Data,"Zwickl-Bernhard & Neumann (2024), Table 6 col. 2",lng_data.py
Break-even price,Oman,6.0,USD/MMBtu,Data,"Zwickl-Bernhard & Neumann (2024), Table 6 col. 2",lng_data.py
Break-even price,Other_Africa,4.5,USD/MMBtu,Data,"Zwickl-Bernhard & Neumann (2024), Table 6 col. 2",lng_data.py
Break-even price,Other_Americas,6.0,USD/MMBtu,Data,"Zwickl-Bernhard & Neumann (2024), Table 6 col. 2",lng_data.py
Break-even price,Other_Asia_Pacific,8.4,USD/MMBtu,Data,"Zwickl-Bernhard & Neumann (2024), Table 6 col. 2",lng_data.py
